method,wrong_nontest,p_test,triage_risk,source,audc
crc,0.11373227196885427,0.07377827215424546,0.11373227196885427,exp2,
point,0.1401950083426029,0.0,0.1401950083426029,exp2,
rac,0.11373227196885427,0.07377827215424546,0.11373227196885427,exp2,
split_cp,0.0032258064516129032,0.7504296440489433,0.0032258064516129032,exp2,
uncalibrated,0.12529511957730813,0.019799429922135705,0.12529511957730813,exp2,
conformal_width,,,,exp4,0.5409722222222222
ei,,,,exp4,0.9174999999999999
ml_rank,,,,exp4,0.9269444444444443
random,,,,exp4,0.5463888888888888
risktriage,,,,exp4,0.9290277777777778
sabatier,,,,exp4,0.2659722222222222
ucb,,,,exp4,0.924861111111111
variance,,,,exp4,0.5409722222222222
voi,,,,exp4,0.7966666666666666
direct,0.11373227196885427,0.07377827215424546,0.11373227196885427,exp5,
staged_filter_unmatched,0.14639089729328886,0.011397849462365592,0.14639089729328886,exp5,
staged_xrd_update,0.1252081015943641,0.05053763440860215,0.1252081015943641,exp5,
