n,p_trust,p_drop,p_test,false_trust,false_drop,wrong_nontest,method,triage_risk,full_risk,seed,c_e,theta_drop,testing_region,lambda
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,bayes,0.2,0.20066666666666666,0,0.01,0.01,1.0,
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,risktriage,0.2,0.20066666666666666,0,0.01,0.01,1.0,1.733123670849261
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,rac_interval,0.2,0.20066666666666666,0,0.01,,,4.097704684419948
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,rac_interval_cost,0.2,0.20066666666666666,0,0.01,,,4.097704684419948
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,bayes,0.2,0.2016666666666667,0,0.025,0.025,1.0,
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,risktriage,0.2,0.2016666666666667,0,0.025,0.025,1.0,2.0003902890450123
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,rac_interval,0.2,0.2016666666666667,0,0.025,,,4.097704684419948
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,rac_interval_cost,0.2,0.2016666666666667,0,0.025,,,4.097704684419948
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,bayes,0.2,0.2033333333333333,0,0.05,0.05,1.0,
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,risktriage,0.2,0.2033333333333333,0,0.05,0.05,1.0,2.308872341778563
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,rac_interval,0.2,0.2033333333333333,0,0.05,,,4.097704684419948
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,rac_interval_cost,0.2,0.2033333333333333,0,0.05,,,4.097704684419948
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,bayes,0.2,0.20666666666666664,0,0.1,0.1,1.0,
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,risktriage,0.2,0.20666666666666664,0,0.1,0.1,1.0,3.075886378043518
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,rac_interval,0.2,0.20666666666666664,0,0.1,,,4.097704684419948
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,rac_interval_cost,0.2,0.20666666666666664,0,0.1,,,4.097704684419948
30,0.43333333333333335,0.5333333333333333,0.03333333333333333,0.23076923076923078,0.1875,0.2,bayes,0.2,0.20666666666666667,0,0.2,0.2,1.0,
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,risktriage,0.2,0.21333333333333335,0,0.2,0.2,1.0,4.729615546749322
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,rac_interval,0.2,0.21333333333333335,0,0.2,,,4.097704684419948
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,rac_interval_cost,0.2,0.21333333333333335,0,0.2,,,4.097704684419948
30,0.43333333333333335,0.5333333333333333,0.03333333333333333,0.23076923076923078,0.1875,0.2,bayes,0.2,0.21333333333333335,0,0.4,0.4,1.0,
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,risktriage,0.2,0.22666666666666668,0,0.4,0.4,1.0,14.897291292503478
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,rac_interval,0.2,0.22666666666666668,0,0.4,,,4.097704684419948
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,rac_interval_cost,0.2,0.22666666666666668,0,0.4,,,4.097704684419948
30,0.43333333333333335,0.5666666666666667,0.0,0.23076923076923078,0.23529411764705882,0.23333333333333334,bayes,0.23333333333333334,0.23333333333333334,0,0.6,0.6,0.0,
30,0.43333333333333335,0.5666666666666667,0.0,0.23076923076923078,0.23529411764705882,0.23333333333333334,risktriage,0.23333333333333334,0.23333333333333334,0,0.6,0.6,0.0,83.27785194231171
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,rac_interval,0.2,0.23999999999999996,0,0.6,,,4.097704684419948
30,0.43333333333333335,0.5666666666666667,0.0,0.23076923076923078,0.23529411764705882,0.23333333333333334,rac_interval_cost,0.23333333333333334,0.23333333333333334,0,0.6,,,4.097704684419948
30,0.43333333333333335,0.5666666666666667,0.0,0.23076923076923078,0.23529411764705882,0.23333333333333334,bayes,0.23333333333333334,0.23333333333333334,0,0.8,0.8,0.0,
30,0.43333333333333335,0.5666666666666667,0.0,0.23076923076923078,0.23529411764705882,0.23333333333333334,risktriage,0.23333333333333334,0.23333333333333334,0,0.8,0.8,0.0,83.27785194231171
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,rac_interval,0.2,0.2533333333333333,0,0.8,,,4.097704684419948
30,0.43333333333333335,0.5666666666666667,0.0,0.23076923076923078,0.23529411764705882,0.23333333333333334,rac_interval_cost,0.23333333333333334,0.23333333333333334,0,0.8,,,4.097704684419948
32,0.25,0.71875,0.03125,0.25,0.043478260869565216,0.09375,bayes,0.09375,0.0940625,1,0.01,0.01,1.0,
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,risktriage,0.09375,0.09375,1,0.01,0.01,1.0,0.2491251798208483
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac_interval,0.09375,0.09375,1,0.01,,,0.582233593823479
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac_interval_cost,0.09375,0.09375,1,0.01,,,0.582233593823479
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,bayes,0.09375,0.09375,1,0.025,0.025,1.0,
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,risktriage,0.09375,0.09375,1,0.025,0.025,1.0,0.33060608041677864
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac_interval,0.09375,0.09375,1,0.025,,,0.582233593823479
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac_interval_cost,0.09375,0.09375,1,0.025,,,0.582233593823479
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,bayes,0.09375,0.09375,1,0.05,0.05,1.0,
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,risktriage,0.09375,0.09375,1,0.05,0.05,1.0,0.3808530540234815
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac_interval,0.09375,0.09375,1,0.05,,,0.582233593823479
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac_interval_cost,0.09375,0.09375,1,0.05,,,0.582233593823479
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,bayes,0.09375,0.09375,1,0.1,0.1,1.0,
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,risktriage,0.09375,0.09375,1,0.1,0.1,1.0,0.5054179408761866
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac_interval,0.09375,0.09375,1,0.1,,,0.582233593823479
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac_interval_cost,0.09375,0.09375,1,0.1,,,0.582233593823479
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,bayes,0.09375,0.09375,1,0.2,0.2,1.0,
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,risktriage,0.09375,0.09375,1,0.2,0.2,1.0,0.6707240292834172
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac_interval,0.09375,0.09375,1,0.2,,,0.582233593823479
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac_interval_cost,0.09375,0.09375,1,0.2,,,0.582233593823479
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,bayes,0.09375,0.09375,1,0.4,0.4,1.0,
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,risktriage,0.09375,0.09375,1,0.4,0.4,1.0,2.3964221084682245
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac_interval,0.09375,0.09375,1,0.4,,,0.582233593823479
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac_interval_cost,0.09375,0.09375,1,0.4,,,0.582233593823479
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,bayes,0.09375,0.09375,1,0.6,0.6,0.0,
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,risktriage,0.09375,0.09375,1,0.6,0.6,0.0,71.49601830969485
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac_interval,0.09375,0.09375,1,0.6,,,0.582233593823479
