method,c_e,p_test,p_trust,p_drop,triage_risk,full_risk
bayes,0.01,0.05890630793474231,0.22990776789024842,0.7111859241750093,0.10899436874304783,0.10958343182239524
bayes,0.025,0.04427558398220245,0.23792188079347426,0.7178025352243234,0.10899436874304783,0.1101012583426029
bayes,0.05,0.03766268075639599,0.24125521412680756,0.7210821051167964,0.11232770207638117,0.11421083611420095
bayes,0.1,0.029591444197256213,0.2460972840192807,0.7243112717834631,0.11873227196885427,0.1216914163885799
bayes,0.2,0.019799429922135705,0.24771018724508714,0.7324903828327771,0.12529511957730813,0.12925500556173525
bayes,0.4,0.008225806451612904,0.2543338663329625,0.7374403272154245,0.13358210511679644,0.1368724276974416
bayes,0.6,0.0,0.2576134362254357,0.7423865637745644,0.1401950083426029,0.1401950083426029
bayes,0.8,0.0,0.2576134362254357,0.7423865637745644,0.1401950083426029,0.1401950083426029
rac_interval,0.01,0.07377827215424546,0.21830494530960326,0.7079167825361512,0.11373227196885427,0.11447005469039673
rac_interval,0.025,0.07377827215424546,0.21830494530960326,0.7079167825361512,0.11373227196885427,0.11557672877271041
rac_interval,0.05,0.07377827215424546,0.21830494530960326,0.7079167825361512,0.11373227196885427,0.11742118557656656
rac_interval,0.1,0.07377827215424546,0.21830494530960326,0.7079167825361512,0.11373227196885427,0.12111009918427881
rac_interval,0.2,0.07377827215424546,0.21830494530960326,0.7079167825361512,0.11373227196885427,0.12848792639970336
rac_interval,0.4,0.07377827215424546,0.21830494530960326,0.7079167825361512,0.11373227196885427,0.14324358083055247
rac_interval,0.6,0.07377827215424546,0.21830494530960326,0.7079167825361512,0.11373227196885427,0.15799923526140155
rac_interval,0.8,0.07377827215424546,0.21830494530960326,0.7079167825361512,0.11373227196885427,0.17275488969225067
rac_interval_cost,0.01,0.07377827215424546,0.21830494530960326,0.7079167825361512,0.11373227196885427,0.11447005469039673
rac_interval_cost,0.025,0.07377827215424546,0.21830494530960326,0.7079167825361512,0.11373227196885427,0.11557672877271041
rac_interval_cost,0.05,0.07377827215424546,0.21830494530960326,0.7079167825361512,0.11373227196885427,0.11742118557656656
rac_interval_cost,0.1,0.07377827215424546,0.21830494530960326,0.7079167825361512,0.11373227196885427,0.12111009918427881
rac_interval_cost,0.2,0.07377827215424546,0.21830494530960326,0.7079167825361512,0.11373227196885427,0.12848792639970336
rac_interval_cost,0.4,0.07377827215424546,0.21830494530960326,0.7079167825361512,0.11373227196885427,0.14324358083055247
rac_interval_cost,0.6,0.0,0.2576134362254357,0.7423865637745644,0.1401950083426029,0.1401950083426029
rac_interval_cost,0.8,0.0,0.2576134362254357,0.7423865637745644,0.1401950083426029,0.1401950083426029
risktriage,0.01,0.07539117538005191,0.21502537541713015,0.7095834492028179,0.11539893863552095,0.11615285038932147
risktriage,0.025,0.07377827215424546,0.2166382786429366,0.7095834492028179,0.11539893863552095,0.11724339543937709
risktriage,0.05,0.07049870226177234,0.21830494530960326,0.7111963524286244,0.11539893863552095,0.11892387374860958
risktriage,0.1,0.07539117538005191,0.2166382786429366,0.7079705459770115,0.1137860354097145,0.12132515294771969
risktriage,0.2,0.07377827215424546,0.2166382786429366,0.7095834492028179,0.11539893863552095,0.13015459306637006
risktriage,0.4,0.07377827215424546,0.21502537541713015,0.7111963524286244,0.11539893863552095,0.14491024749721912
risktriage,0.6,0.0,0.2576134362254357,0.7423865637745644,0.1401950083426029,0.1401950083426029
risktriage,0.8,0.0,0.2576134362254357,0.7423865637745644,0.1401950083426029,0.1401950083426029
