n,p_trust,p_drop,p_test,false_trust,false_drop,wrong_nontest,method,triage_risk,full_risk,seed,coverage,width
30,0.43333333333333335,0.5333333333333333,0.03333333333333333,0.23076923076923078,0.1875,0.2,uncalibrated,0.2,0.20666666666666667,0,0.16666666666666666,0.0489974657601029
30,0.43333333333333335,0.5666666666666667,0.0,0.23076923076923078,0.23529411764705882,0.23333333333333334,point,0.23333333333333334,0.23333333333333334,0,0.16666666666666666,0.0489974657601029
30,0.03333333333333333,0.13333333333333333,0.8333333333333334,0.0,0.0,0.0,split_cp,0.0,0.16666666666666669,0,0.9666666666666667,0.657103691914703
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,crc,0.2,0.21333333333333335,0,0.16666666666666666,0.0489974657601029
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,rac,0.2,0.21333333333333335,0,0.16666666666666666,0.0489974657601029
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,uncalibrated,0.09375,0.09375,1,0.03125,0.007816239603195827
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,point,0.09375,0.09375,1,0.03125,0.007816239603195827
32,0.0625,0.25,0.6875,0.0,0.0,0.0,split_cp,0.0,0.1375,1,0.9375,0.5953711090142735
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,crc,0.09375,0.09375,1,0.03125,0.007816239603195827
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac,0.09375,0.09375,1,0.03125,0.007816239603195827
31,0.3225806451612903,0.6774193548387096,0.0,0.1,0.09523809523809523,0.0967741935483871,uncalibrated,0.0967741935483871,0.0967741935483871,2,0.6774193548387096,0.25919135521226894
31,0.3225806451612903,0.6774193548387096,0.0,0.1,0.09523809523809523,0.0967741935483871,point,0.0967741935483871,0.0967741935483871,2,0.6774193548387096,0.25919135521226894
31,0.03225806451612903,0.16129032258064516,0.8064516129032258,0.0,0.0,0.0,split_cp,0.0,0.16129032258064518,2,0.9032258064516129,0.7140192859654431
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,crc,0.03225806451612903,0.1032258064516129,2,0.6774193548387096,0.25919135521226894
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,rac,0.03225806451612903,0.1032258064516129,2,0.6774193548387096,0.25919135521226894
29,0.3448275862068966,0.5862068965517241,0.06896551724137931,0.4,0.17647058823529413,0.2413793103448276,uncalibrated,0.2413793103448276,0.25517241379310346,3,0.13793103448275862,0.04141438662471663
29,0.41379310344827586,0.5862068965517241,0.0,0.4166666666666667,0.17647058823529413,0.27586206896551724,point,0.27586206896551724,0.27586206896551724,3,0.13793103448275862,0.04141438662471663
29,0.034482758620689655,0.1724137931034483,0.7931034482758621,0.0,0.0,0.0,split_cp,0.0,0.15862068965517243,3,0.9310344827586207,0.5396540314993798
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,crc,0.20689655172413793,0.22758620689655173,3,0.13793103448275862,0.04141438662471663
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,rac,0.20689655172413793,0.22758620689655173,3,0.13793103448275862,0.04141438662471663
31,0.1935483870967742,0.7419354838709677,0.06451612903225806,0.0,0.17391304347826086,0.12903225806451613,uncalibrated,0.12903225806451613,0.14193548387096774,4,0.0,0.0
31,0.1935483870967742,0.8064516129032258,0.0,0.0,0.24,0.1935483870967742,point,0.1935483870967742,0.1935483870967742,4,0.0,0.0
31,0.0,0.16129032258064516,0.8387096774193549,,0.0,0.0,split_cp,0.0,0.167741935483871,4,1.0,0.7101441837949252
31,0.1935483870967742,0.8064516129032258,0.0,0.0,0.24,0.1935483870967742,crc,0.1935483870967742,0.1935483870967742,4,0.0,0.0
31,0.1935483870967742,0.8064516129032258,0.0,0.0,0.24,0.1935483870967742,rac,0.1935483870967742,0.1935483870967742,4,0.0,0.0
29,0.1724137931034483,0.7931034482758621,0.034482758620689655,0.0,0.043478260869565216,0.034482758620689655,uncalibrated,0.034482758620689655,0.041379310344827586,5,0.0,0.009281759218288704
