seed,method,audc,ett80
0,random,0.6666666666666666,25.0
0,sabatier,0.2222222222222222,30.0
0,ml_rank,0.9444444444444443,10.0
0,variance,0.4444444444444444,30.0
0,ucb,0.9444444444444443,10.0
0,ei,0.9444444444444443,10.0
0,voi,0.8333333333333334,15.0
0,conformal_width,0.4444444444444444,30.0
0,risktriage,0.9444444444444443,10.0
1,random,0.375,
1,sabatier,0.20833333333333334,
1,ml_rank,0.9166666666666666,10.0
1,variance,0.5,30.0
1,ucb,0.9166666666666666,10.0
1,ei,0.9166666666666666,10.0
1,voi,0.9166666666666666,10.0
1,conformal_width,0.5,30.0
1,risktriage,0.9166666666666666,10.0
2,random,0.4166666666666667,30.0
2,sabatier,0.2916666666666667,30.0
2,ml_rank,0.8333333333333334,10.0
2,variance,0.4166666666666667,25.0
2,ucb,0.8333333333333334,10.0
2,ei,0.8333333333333334,10.0
2,voi,0.8333333333333334,15.0
2,conformal_width,0.4166666666666667,25.0
2,risktriage,0.875,10.0
3,random,0.4666666666666666,20.0
3,sabatier,0.2,
3,ml_rank,0.8,15.0
3,variance,0.6,25.0
3,ucb,0.8,15.0
3,ei,0.7333333333333333,20.0
3,voi,0.6666666666666666,25.0
3,conformal_width,0.6,25.0
3,risktriage,0.8,15.0
4,random,0.5833333333333334,30.0
4,sabatier,0.16666666666666666,
4,ml_rank,0.9583333333333334,10.0
4,variance,0.625,20.0
4,ucb,0.9583333333333334,10.0
4,ei,0.9583333333333334,10.0
4,voi,0.875,10.0
4,conformal_width,0.625,20.0
4,risktriage,0.9583333333333334,10.0
5,random,0.26666666666666666,
5,sabatier,0.13333333333333333,
5,ml_rank,0.9333333333333332,10.0
5,variance,0.4,
5,ucb,0.9333333333333332,10.0
5,ei,0.8666666666666666,15.0
5,voi,0.5999999999999999,
5,conformal_width,0.4,
5,risktriage,0.9333333333333332,10.0
6,random,0.5,30.0
6,sabatier,0.125,
6,ml_rank,0.9583333333333334,10.0
6,variance,0.375,30.0
6,ucb,0.9583333333333334,10.0
6,ei,0.9583333333333334,10.0
