n,p_trust,p_drop,p_test,false_trust,false_drop,wrong_nontest,method,triage_risk,full_risk,seed,tests_avoided,good_lost
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,direct,0.2,0.21333333333333335,0,,
30,0.43333333333333335,0.5333333333333333,0.03333333333333333,0.23076923076923078,0.1875,0.2,staged_xrd_update,0.2,0.20666666666666667,0,,
30,0.43333333333333335,0.5333333333333333,0.03333333333333333,0.23076923076923078,0.1875,0.2,staged_filter_unmatched,0.2,0.20666666666666667,0,0.0,0.0
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,direct,0.09375,0.09375,1,,
32,0.21875,0.78125,0.0,0.14285714285714285,0.08,0.09375,staged_xrd_update,0.09375,0.09375,1,,
32,0.21875,0.78125,0.0,0.14285714285714285,0.08,0.09375,staged_filter_unmatched,0.09375,0.09375,1,0.0,0.0
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,direct,0.03225806451612903,0.1032258064516129,2,,
31,0.22580645161290322,0.5483870967741935,0.22580645161290322,0.14285714285714285,0.058823529411764705,0.06451612903225806,staged_xrd_update,0.06451612903225806,0.10967741935483873,2,,
31,0.22580645161290322,0.7419354838709677,0.03225806451612903,0.14285714285714285,0.21739130434782608,0.1935483870967742,staged_filter_unmatched,0.1935483870967742,0.2,2,0.1935483870967742,0.12903225806451613
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,direct,0.20689655172413793,0.22758620689655173,3,,
29,0.3793103448275862,0.6206896551724138,0.0,0.36363636363636365,0.16666666666666666,0.2413793103448276,staged_xrd_update,0.2413793103448276,0.2413793103448276,3,,
29,0.3793103448275862,0.6206896551724138,0.0,0.36363636363636365,0.16666666666666666,0.2413793103448276,staged_filter_unmatched,0.2413793103448276,0.2413793103448276,3,0.0,0.0
31,0.1935483870967742,0.8064516129032258,0.0,0.0,0.24,0.1935483870967742,direct,0.1935483870967742,0.1935483870967742,4,,
31,0.22580645161290322,0.7741935483870968,0.0,0.0,0.20833333333333334,0.16129032258064516,staged_xrd_update,0.16129032258064516,0.16129032258064516,4,,
31,0.22580645161290322,0.7741935483870968,0.0,0.0,0.20833333333333334,0.16129032258064516,staged_filter_unmatched,0.16129032258064516,0.16129032258064516,4,0.0,0.0
29,0.1724137931034483,0.7931034482758621,0.034482758620689655,0.0,0.043478260869565216,0.034482758620689655,direct,0.034482758620689655,0.041379310344827586,5,,
29,0.1724137931034483,0.8275862068965517,0.0,0.0,0.08333333333333333,0.06896551724137931,staged_xrd_update,0.06896551724137931,0.06896551724137931,5,,
29,0.1724137931034483,0.8275862068965517,0.0,0.0,0.08333333333333333,0.06896551724137931,staged_filter_unmatched,0.06896551724137931,0.06896551724137931,5,0.0,0.0
31,0.25806451612903225,0.7419354838709677,0.0,0.125,0.17391304347826086,0.16129032258064516,direct,0.16129032258064516,0.16129032258064516,6,,
31,0.25806451612903225,0.7419354838709677,0.0,0.0,0.13043478260869565,0.0967741935483871,staged_xrd_update,0.0967741935483871,0.0967741935483871,6,,
31,0.25806451612903225,0.7419354838709677,0.0,0.0,0.13043478260869565,0.0967741935483871,staged_filter_unmatched,0.0967741935483871,0.0967741935483871,6,0.0,0.0
32,0.1875,0.8125,0.0,0.3333333333333333,0.07692307692307693,0.125,direct,0.125,0.125,7,,
32,0.15625,0.84375,0.0,0.4,0.1111111111111111,0.15625,staged_xrd_update,0.15625,0.15625,7,,
32,0.15625,0.84375,0.0,0.4,0.1111111111111111,0.15625,staged_filter_unmatched,0.15625,0.15625,7,0.0,0.0
30,0.2,0.6333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.03333333333333333,direct,0.03333333333333333,0.06666666666666667,8,,
30,0.23333333333333334,0.7666666666666667,0.0,0.2857142857142857,0.08695652173913043,0.13333333333333333,staged_xrd_update,0.13333333333333333,0.13333333333333333,8,,
30,0.23333333333333334,0.7666666666666667,0.0,0.2857142857142857,0.08695652173913043,0.13333333333333333,staged_filter_unmatched,0.13333333333333333,0.13333333333333333,8,0.0,0.0
31,0.3225806451612903,0.6774193548387096,0.0,0.2,0.23809523809523808,0.22580645161290322,direct,0.22580645161290322,0.22580645161290322,9,,
31,0.3225806451612903,0.6774193548387096,0.0,0.1,0.19047619047619047,0.16129032258064516,staged_xrd_update,0.16129032258064516,0.16129032258064516,9,,
31,0.3225806451612903,0.6774193548387096,0.0,0.1,0.19047619047619047,0.16129032258064516,staged_filter_unmatched,0.16129032258064516,0.16129032258064516,9,0.0,0.0
30,0.0,1.0,0.0,,0.06666666666666667,0.06666666666666667,direct,0.06666666666666667,0.06666666666666667,10,,
30,0.0,1.0,0.0,,0.06666666666666667,0.06666666666666667,staged_xrd_update,0.06666666666666667,0.06666666666666667,10,,
30,0.0,1.0,0.0,,0.06666666666666667,0.06666666666666667,staged_filter_unmatched,0.06666666666666667,0.06666666666666667,10,0.0,0.0
31,0.2903225806451613,0.7096774193548387,0.0,0.1111111111111111,0.0,0.03225806451612903,direct,0.03225806451612903,0.03225806451612903,11,,
31,0.2903225806451613,0.7096774193548387,0.0,0.3333333333333333,0.09090909090909091,0.16129032258064516,staged_xrd_update,0.16129032258064516,0.16129032258064516,11,,
31,0.2903225806451613,0.7096774193548387,0.0,0.3333333333333333,0.09090909090909091,0.16129032258064516,staged_filter_unmatched,0.16129032258064516,0.16129032258064516,11,0.0,0.0
30,0.2,0.8,0.0,0.3333333333333333,0.16666666666666666,0.2,direct,0.2,0.2,12,,
30,0.23333333333333334,0.7666666666666667,0.0,0.42857142857142855,0.17391304347826086,0.23333333333333334,staged_xrd_update,0.23333333333333334,0.23333333333333334,12,,
30,0.23333333333333334,0.7666666666666667,0.0,0.42857142857142855,0.17391304347826086,0.23333333333333334,staged_filter_unmatched,0.23333333333333334,0.23333333333333334,12,0.0,0.0
30,0.2,0.5666666666666667,0.23333333333333334,0.0,0.0,0.0,direct,0.0,0.04666666666666666,13,,
30,0.16666666666666666,0.5333333333333333,0.3,0.0,0.0,0.0,staged_xrd_update,0.0,0.05999999999999999,13,,
30,0.16666666666666666,0.8,0.03333333333333333,0.0,0.16666666666666666,0.13333333333333333,staged_filter_unmatched,0.13333333333333333,0.14,13,0.26666666666666666,0.13333333333333333
31,0.12903225806451613,0.5806451612903226,0.2903225806451613,0.0,0.0,0.0,direct,0.0,0.05806451612903226,14,,
31,0.16129032258064516,0.6129032258064516,0.22580645161290322,0.0,0.05263157894736842,0.03225806451612903,staged_xrd_update,0.03225806451612903,0.0774193548387097,14,,
31,0.16129032258064516,0.7741935483870968,0.06451612903225806,0.0,0.125,0.0967741935483871,staged_filter_unmatched,0.0967741935483871,0.10967741935483873,14,0.16129032258064516,0.06451612903225806
31,0.22580645161290322,0.7741935483870968,0.0,0.42857142857142855,0.125,0.1935483870967742,direct,0.1935483870967742,0.1935483870967742,15,,
31,0.22580645161290322,0.7741935483870968,0.0,0.2857142857142857,0.08333333333333333,0.12903225806451613,staged_xrd_update,0.12903225806451613,0.12903225806451613,15,,
31,0.22580645161290322,0.7741935483870968,0.0,0.2857142857142857,0.08333333333333333,0.12903225806451613,staged_filter_unmatched,0.12903225806451613,0.12903225806451613,15,0.0,0.0
32,0.09375,0.90625,0.0,0.3333333333333333,0.13793103448275862,0.15625,direct,0.15625,0.15625,16,,
32,0.125,0.875,0.0,0.5,0.14285714285714285,0.1875,staged_xrd_update,0.1875,0.1875,16,,
32,0.125,0.875,0.0,0.5,0.14285714285714285,0.1875,staged_filter_unmatched,0.1875,0.1875,16,0.0,0.0
31,0.1935483870967742,0.8064516129032258,0.0,0.16666666666666666,0.16,0.16129032258064516,direct,0.16129032258064516,0.16129032258064516,17,,
31,0.16129032258064516,0.8387096774193549,0.0,0.0,0.15384615384615385,0.12903225806451613,staged_xrd_update,0.12903225806451613,0.12903225806451613,17,,
31,0.16129032258064516,0.8387096774193549,0.0,0.0,0.15384615384615385,0.12903225806451613,staged_filter_unmatched,0.12903225806451613,0.12903225806451613,17,0.0,0.0
31,0.3225806451612903,0.45161290322580644,0.22580645161290322,0.1,0.07142857142857142,0.06451612903225806,direct,0.06451612903225806,0.10967741935483871,18,,
31,0.2903225806451613,0.4838709677419355,0.22580645161290322,0.0,0.0,0.0,staged_xrd_update,0.0,0.04516129032258065,18,,
31,0.2903225806451613,0.6451612903225806,0.06451612903225806,0.0,0.15,0.0967741935483871,staged_filter_unmatched,0.0967741935483871,0.10967741935483873,18,0.16129032258064516,0.0967741935483871
32,0.15625,0.84375,0.0,0.2,0.07407407407407407,0.09375,direct,0.09375,0.09375,19,,
32,0.125,0.875,0.0,0.5,0.14285714285714285,0.1875,staged_xrd_update,0.1875,0.1875,19,,
32,0.125,0.875,0.0,0.5,0.14285714285714285,0.1875,staged_filter_unmatched,0.1875,0.1875,19,0.0,0.0
