n,p_trust,p_drop,p_test,false_trust,false_drop,wrong_nontest,method,triage_risk,full_risk,seed,split,coverage,width
30,0.03333333333333333,0.13333333333333333,0.8333333333333334,0.0,0.0,0.0,split_cp,0.0,0.16666666666666669,0,iid,0.9666666666666667,0.657103691914703
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,crc,0.2,0.21333333333333335,0,iid,0.16666666666666666,0.0489974657601029
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,rac,0.2,0.21333333333333335,0,iid,0.16666666666666666,0.0489974657601029
54,0.0,0.05555555555555555,0.9444444444444444,,0.0,0.0,split_cp,0.0,0.1888888888888888,0,ood,1.0,1.0737242600217707
54,0.12962962962962962,0.8148148148148148,0.05555555555555555,0.7142857142857143,0.09090909090909091,0.16666666666666666,crc,0.16666666666666666,0.17777777777777773,0,ood,0.24074074074074073,0.07148163828912604
54,0.12962962962962962,0.8148148148148148,0.05555555555555555,0.7142857142857143,0.09090909090909091,0.16666666666666666,rac,0.16666666666666666,0.17777777777777773,0,ood,0.24074074074074073,0.07148163828912604
32,0.0625,0.25,0.6875,0.0,0.0,0.0,split_cp,0.0,0.1375,1,iid,0.9375,0.5953711090142735
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,crc,0.09375,0.09375,1,iid,0.03125,0.007816239603195827
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac,0.09375,0.09375,1,iid,0.03125,0.007816239603195827
50,0.02,0.14,0.84,0.0,0.42857142857142855,0.06,split_cp,0.06,0.22799999999999998,1,ood,0.8,0.5597511125189685
50,0.16,0.84,0.0,0.0,0.30952380952380953,0.26,crc,0.26,0.26,1,ood,0.0,0.0
50,0.16,0.84,0.0,0.0,0.30952380952380953,0.26,rac,0.26,0.26,1,ood,0.0,0.0
31,0.03225806451612903,0.16129032258064516,0.8064516129032258,0.0,0.0,0.0,split_cp,0.0,0.16129032258064518,2,iid,0.9032258064516129,0.7140192859654431
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,crc,0.03225806451612903,0.1032258064516129,2,iid,0.6774193548387096,0.25919135521226894
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,rac,0.03225806451612903,0.1032258064516129,2,iid,0.6774193548387096,0.25919135521226894
40,0.0,0.1,0.9,,0.0,0.0,split_cp,0.0,0.18,2,ood,0.975,0.9432420058477942
40,0.025,0.375,0.6,0.0,0.0,0.0,crc,0.0,0.12000000000000002,2,ood,0.95,0.44682596691246756
40,0.025,0.375,0.6,0.0,0.0,0.0,rac,0.0,0.12000000000000002,2,ood,0.95,0.44682596691246756
29,0.034482758620689655,0.1724137931034483,0.7931034482758621,0.0,0.0,0.0,split_cp,0.0,0.15862068965517243,3,iid,0.9310344827586207,0.5396540314993798
