method,seed,r,T
risktriage,0,0.03,0.8333333333333334
risktriage,0,0.05,0.5333333333333333
risktriage,0,0.075,0.36666666666666664
risktriage,0,0.1,0.36666666666666664
risktriage,0,0.125,0.36666666666666664
risktriage,1,0.03,0.34375
risktriage,1,0.05,0.28125
risktriage,1,0.075,0.125
risktriage,1,0.1,0.0
risktriage,1,0.125,0.0
risktriage,2,0.03,0.45161290322580644
risktriage,2,0.05,0.45161290322580644
risktriage,2,0.075,0.0967741935483871
risktriage,2,0.1,0.0
risktriage,2,0.125,0.0
risktriage,3,0.03,0.5517241379310345
risktriage,3,0.05,0.5517241379310345
risktriage,3,0.075,0.3793103448275862
risktriage,3,0.1,0.3793103448275862
risktriage,3,0.125,0.2413793103448276
risktriage,4,0.03,0.3870967741935484
risktriage,4,0.05,0.3870967741935484
risktriage,4,0.075,0.12903225806451613
risktriage,4,0.1,0.0967741935483871
risktriage,4,0.125,0.0967741935483871
risktriage,5,0.03,0.5172413793103449
risktriage,5,0.05,0.034482758620689655
risktriage,5,0.075,0.0
risktriage,5,0.1,0.0
risktriage,5,0.125,0.0
risktriage,6,0.03,0.7741935483870968
risktriage,6,0.05,0.3870967741935484
risktriage,6,0.075,0.25806451612903225
risktriage,6,0.1,0.0967741935483871
risktriage,6,0.125,0.0967741935483871
risktriage,7,0.03,0.28125
risktriage,7,0.05,0.15625
risktriage,7,0.075,0.125
risktriage,7,0.1,0.0625
risktriage,7,0.125,0.0
risktriage,8,0.03,0.36666666666666664
risktriage,8,0.05,0.16666666666666666
risktriage,8,0.075,0.16666666666666666
risktriage,8,0.1,0.03333333333333333
risktriage,8,0.125,0.03333333333333333
risktriage,9,0.03,0.6451612903225806
risktriage,9,0.05,0.3548387096774194
risktriage,9,0.075,0.3548387096774194
risktriage,9,0.1,0.1935483870967742
risktriage,9,0.125,0.1935483870967742
risktriage,10,0.03,0.36666666666666664
risktriage,10,0.05,0.03333333333333333
risktriage,10,0.075,0.0
risktriage,10,0.1,0.0
risktriage,10,0.125,0.0
risktriage,11,0.03,0.16129032258064516
risktriage,11,0.05,0.0
risktriage,11,0.075,0.0
risktriage,11,0.1,0.0
risktriage,11,0.125,0.0
risktriage,12,0.03,0.5
risktriage,12,0.05,0.4
risktriage,12,0.075,0.2
risktriage,12,0.1,0.13333333333333333
risktriage,12,0.125,0.13333333333333333
risktriage,13,0.03,0.26666666666666666
risktriage,13,0.05,0.06666666666666667
risktriage,13,0.075,0.0
risktriage,13,0.1,0.0
risktriage,13,0.125,0.0
risktriage,14,0.03,0.25806451612903225
risktriage,14,0.05,0.12903225806451613
risktriage,14,0.075,0.0
risktriage,14,0.1,0.0
risktriage,14,0.125,0.0
risktriage,15,0.03,0.5483870967741935
risktriage,15,0.05,0.2903225806451613
risktriage,15,0.075,0.1935483870967742
risktriage,15,0.1,0.12903225806451613
risktriage,15,0.125,0.12903225806451613
risktriage,16,0.03,0.25
risktriage,16,0.05,0.25
risktriage,16,0.075,0.15625
risktriage,16,0.1,0.125
risktriage,16,0.125,0.03125
risktriage,17,0.03,0.7096774193548387
risktriage,17,0.05,0.3548387096774194
risktriage,17,0.075,0.16129032258064516
risktriage,17,0.1,0.06451612903225806
risktriage,17,0.125,0.06451612903225806
risktriage,18,0.03,
risktriage,18,0.05,0.2903225806451613
