method,r,T_mean,T_ci_lo,T_ci_hi,n
risktriage,0.03,0.44705435376539226,0.3667288763831158,0.5388349475782058,19
risktriage,0.05,0.2653184093437152,0.1931940669030404,0.33896664696885415,20
risktriage,0.075,0.1451987161661105,0.09242859543010752,0.20103743743047825,20
risktriage,0.1,0.08887815164998145,0.043359879032258054,0.1428753070541342,20
risktriage,0.125,0.07416909992584353,0.03387172379032258,0.12197945344364101,20
crc,0.03,0.44486137130925196,0.36945354731377944,0.5305762799309174,19
crc,0.05,0.25240811549870223,0.18281393098813498,0.3261610875509825,20
crc,0.075,0.14686538283277714,0.09270488911290324,0.2046473280496848,20
crc,0.1,0.08393191509084166,0.04158467741935484,0.13359770114942518,20
crc,0.125,0.06922286336670373,0.0325262936827957,0.11207366981831662,20
rac,0.03,0.44486137130925196,0.36945354731377944,0.5305762799309174,19
rac,0.05,0.25240811549870223,0.18281393098813498,0.3261610875509825,20
rac,0.075,0.14686538283277714,0.09270488911290324,0.2046473280496848,20
rac,0.1,0.08393191509084166,0.04158467741935484,0.13359770114942518,20
rac,0.125,0.06922286336670373,0.0325262936827957,0.11207366981831662,20
split_cp,0.03,0.44860892246529066,0.3696292144306431,0.5320642599287272,18
split_cp,0.05,0.3200822673340749,0.26800136146644415,0.3743359461902113,20
split_cp,0.075,0.26268770856507223,0.2270524193548387,0.29838872763718943,20
split_cp,0.1,0.25945854189840556,0.22311933398220243,0.29602665287819796,20
split_cp,0.125,0.25132276603633663,0.21069644512421207,0.28894618152113455,20
uncertainty,0.03,0.745992190396737,0.6520306329949944,0.8252397890016685,20
uncertainty,0.05,0.4695043103448276,0.3530673346542455,0.5799149778689283,20
uncertainty,0.075,0.26329382183908046,0.1635479381025213,0.36462195263255437,20
uncertainty,0.1,0.16507809603262885,0.09187869623655914,0.24421035525583978,20
uncertainty,0.125,0.1520931822395254,0.08143052176028921,0.22870650549221358,20
