method,seed,t,R
risktriage,0,0.05,0.2
risktriage,0,0.1,0.16666666666666666
risktriage,0,0.2,0.16666666666666666
risktriage,0,0.3,0.13333333333333333
risktriage,0,0.5,0.06666666666666667
risktriage,1,0.05,0.09375
risktriage,1,0.1,0.09375
risktriage,1,0.2,0.0625
risktriage,1,0.3,0.03125
risktriage,1,0.5,0.0
risktriage,2,0.05,0.0967741935483871
risktriage,2,0.1,0.06451612903225806
risktriage,2,0.2,0.06451612903225806
risktriage,2,0.3,0.06451612903225806
risktriage,2,0.5,0.0
risktriage,3,0.05,0.27586206896551724
risktriage,3,0.1,0.2413793103448276
risktriage,3,0.2,0.1724137931034483
risktriage,3,0.3,0.10344827586206896
risktriage,3,0.5,0.06896551724137931
risktriage,4,0.05,0.16129032258064516
risktriage,4,0.1,0.0967741935483871
risktriage,4,0.2,0.06451612903225806
risktriage,4,0.3,0.06451612903225806
risktriage,4,0.5,0.0
risktriage,5,0.05,0.034482758620689655
risktriage,5,0.1,0.034482758620689655
risktriage,5,0.2,0.034482758620689655
risktriage,5,0.3,0.034482758620689655
risktriage,5,0.5,0.034482758620689655
risktriage,6,0.05,0.16129032258064516
risktriage,6,0.1,0.0967741935483871
risktriage,6,0.2,0.0967741935483871
risktriage,6,0.3,0.06451612903225806
risktriage,6,0.5,0.03225806451612903
risktriage,7,0.05,0.125
risktriage,7,0.1,0.09375
risktriage,7,0.2,0.03125
risktriage,7,0.3,0.0
risktriage,7,0.5,0.0
risktriage,8,0.05,0.1
risktriage,8,0.1,0.1
risktriage,8,0.2,0.03333333333333333
risktriage,8,0.3,0.03333333333333333
risktriage,8,0.5,0.0
risktriage,9,0.05,0.1935483870967742
risktriage,9,0.1,0.12903225806451613
risktriage,9,0.2,0.0967741935483871
risktriage,9,0.3,0.0967741935483871
risktriage,9,0.5,0.03225806451612903
risktriage,10,0.05,0.03333333333333333
risktriage,10,0.1,0.03333333333333333
risktriage,10,0.2,0.03333333333333333
risktriage,10,0.3,0.03333333333333333
risktriage,10,0.5,0.0
risktriage,11,0.05,0.03225806451612903
risktriage,11,0.1,0.03225806451612903
risktriage,11,0.2,0.0
risktriage,11,0.3,0.0
risktriage,11,0.5,0.0
risktriage,12,0.05,0.2
risktriage,12,0.1,0.13333333333333333
risktriage,12,0.2,0.06666666666666667
risktriage,12,0.3,0.06666666666666667
risktriage,12,0.5,0.0
risktriage,13,0.05,0.06666666666666667
risktriage,13,0.1,0.03333333333333333
risktriage,13,0.2,0.03333333333333333
risktriage,13,0.3,0.0
risktriage,13,0.5,0.0
risktriage,14,0.05,0.06451612903225806
risktriage,14,0.1,0.06451612903225806
risktriage,14,0.2,0.03225806451612903
risktriage,14,0.3,0.0
risktriage,14,0.5,0.0
risktriage,15,0.05,0.16129032258064516
risktriage,15,0.1,0.12903225806451613
risktriage,15,0.2,0.06451612903225806
risktriage,15,0.3,0.03225806451612903
risktriage,15,0.5,0.03225806451612903
risktriage,16,0.05,0.125
risktriage,16,0.1,0.125
risktriage,16,0.2,0.0625
risktriage,16,0.3,0.0
risktriage,16,0.5,0.0
risktriage,17,0.05,0.12903225806451613
risktriage,17,0.1,0.0967741935483871
risktriage,17,0.2,0.06451612903225806
risktriage,17,0.3,0.06451612903225806
risktriage,17,0.5,0.03225806451612903
risktriage,18,0.05,0.16129032258064516
risktriage,18,0.1,0.0967741935483871
risktriage,18,0.2,0.06451612903225806
risktriage,18,0.3,0.03225806451612903
risktriage,18,0.5,0.03225806451612903
risktriage,19,0.05,0.09375
risktriage,19,0.1,0.0625
risktriage,19,0.2,0.03125
risktriage,19,0.3,0.0
risktriage,19,0.5,0.0
crc,0,0.05,0.2
crc,0,0.1,0.2
crc,0,0.2,0.16666666666666666
crc,0,0.3,0.1
crc,0,0.5,0.06666666666666667
crc,1,0.05,0.09375
crc,1,0.1,0.09375
crc,1,0.2,0.0625
crc,1,0.3,0.03125
crc,1,0.5,0.0
crc,2,0.05,0.0967741935483871
crc,2,0.1,0.06451612903225806
crc,2,0.2,0.06451612903225806
crc,2,0.3,0.06451612903225806
crc,2,0.5,0.0
crc,3,0.05,0.27586206896551724
crc,3,0.1,0.2413793103448276
crc,3,0.2,0.1724137931034483
crc,3,0.3,0.10344827586206896
crc,3,0.5,0.06896551724137931
crc,4,0.05,0.16129032258064516
crc,4,0.1,0.0967741935483871
crc,4,0.2,0.06451612903225806
crc,4,0.3,0.06451612903225806
crc,4,0.5,0.0
crc,5,0.05,0.034482758620689655
crc,5,0.1,0.034482758620689655
crc,5,0.2,0.034482758620689655
crc,5,0.3,0.034482758620689655
crc,5,0.5,0.034482758620689655
crc,6,0.05,0.16129032258064516
crc,6,0.1,0.0967741935483871
crc,6,0.2,0.0967741935483871
crc,6,0.3,0.06451612903225806
crc,6,0.5,0.03225806451612903
crc,7,0.05,0.125
crc,7,0.1,0.09375
crc,7,0.2,0.03125
crc,7,0.3,0.0
crc,7,0.5,0.0
crc,8,0.05,0.1
crc,8,0.1,0.1
crc,8,0.2,0.03333333333333333
crc,8,0.3,0.03333333333333333
crc,8,0.5,0.0
crc,9,0.05,0.22580645161290322
crc,9,0.1,0.12903225806451613
crc,9,0.2,0.0967741935483871
crc,9,0.3,0.0967741935483871
