method,t,R_mean,R_ci_lo,R_ci_hi,n
risktriage,0.05,0.1254567575083426,0.09746753626714869,0.15565271598071925,20
risktriage,0.1,0.09619901742677048,0.0750360006488691,0.12071042767426769,20
risktriage,0.2,0.06380584909158324,0.046898521505376344,0.08419421173989619,20
risktriage,0.3,0.04276012699295513,0.025978086183722656,0.059772965331850184,20
risktriage,0.5,0.016570263255469037,0.008064516129032258,0.027019002595476453,20
crc,0.05,0.12706966073414905,0.0982941520671116,0.15764915878754165,20
crc,0.1,0.0962527808676307,0.07392920664163885,0.12163809904523544,20
crc,0.2,0.06380584909158324,0.046898521505376344,0.08419421173989619,20
crc,0.3,0.04255179365962179,0.02766603228123841,0.0576280850250278,20
crc,0.5,0.016570263255469037,0.008064516129032258,0.027019002595476453,20
rac,0.05,0.12706966073414905,0.0982941520671116,0.15764915878754165,20
rac,0.1,0.0962527808676307,0.07392920664163885,0.12163809904523544,20
rac,0.2,0.06380584909158324,0.046898521505376344,0.08419421173989619,20
rac,0.3,0.04255179365962179,0.02766603228123841,0.0576280850250278,20
rac,0.5,0.016570263255469037,0.008064516129032258,0.027019002595476453,20
split_cp,0.05,0.125,0.125,0.125,1
split_cp,0.1,0.07916666666666666,0.03333333333333333,0.125,2
split_cp,0.2,0.038319892473118275,0.01875,0.05747311827956989,5
split_cp,0.3,0.03901032010876282,0.023669806729699667,0.05457081942899517,15
split_cp,0.5,0.016570263255469037,0.008064516129032258,0.027019002595476453,20
uncertainty,0.05,0.14019500834260287,0.11151097863366702,0.17133289302929175,20
uncertainty,0.1,0.11260428253615126,0.08638468379217648,0.1421831954486466,20
uncertainty,0.2,0.08785154801631441,0.0671848350018539,0.10916794702447159,20
uncertainty,0.3,0.07810993696700036,0.059856388464034106,0.09618014808120133,20
uncertainty,0.5,0.05529674175009269,0.0421779465609937,0.06844863505747124,20
